"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.981846200E-2,1.585430056E-1,-7.742200047E-2,1.286360025E-1
3.382412500E-2,1.585430056E-1,-7.742200047E-2,1.286360025E-1
4.782901000E-2,1.029400006E-1,-2.024870068E-1,1.145099998E-1
6.183479900E-2,2.792989910E-1,-4.016630054E-1,1.691610068E-1
7.584132300E-2,2.792989910E-1,-4.016630054E-1,1.691610068E-1
8.984698700E-2,2.941969931E-1,-3.652429879E-1,2.770099938E-1
1.038518950E-1,1.648969948E-1,-1.155060008E-1,1.960140020E-1
1.178575780E-1,1.648969948E-1,-1.155060008E-1,1.960140020E-1
1.318640790E-1,2.209109962E-1,-5.286499858E-2,9.827300161E-2
1.458697660E-1,2.868979871E-1,-2.437659949E-1,3.265399933E-1
1.598747850E-1,2.613610029E-1,-3.067960143E-1,2.354580015E-1
1.738804530E-1,2.613610029E-1,-3.067960143E-1,2.354580015E-1
1.878869150E-1,2.639859915E-1,-3.410800099E-1,7.683700323E-2
2.018925880E-1,2.588759959E-1,-2.035360038E-1,2.030999959E-1
2.158974910E-1,2.588759959E-1,-2.035360038E-1,2.030999959E-1
2.299031750E-1,1.861290038E-1,-1.391379982E-1,2.265760005E-1
2.439096310E-1,1.788640022E-1,-1.766480058E-1,2.016720027E-1
2.579153340E-1,1.788640022E-1,-1.766480058E-1,2.016720027E-1
2.719201940E-1,2.078920007E-1,-2.167149931E-1,2.180269957E-1
2.859259340E-1,1.952210069E-1,-2.801780105E-1,2.147209942E-1
2.999323860E-1,1.834679991E-1,-2.964099944E-1,2.197140008E-1
3.139380590E-1,1.834679991E-1,-2.964099944E-1,2.197140008E-1
3.279429770E-1,2.049490064E-1,-2.549310029E-1,2.200410068E-1
3.419486150E-1,2.114280015E-1,-1.965750009E-1,2.442840040E-1
3.559550250E-1,2.114280015E-1,-1.965750009E-1,2.442840040E-1
3.699606930E-1,2.226029932E-1,-1.979299933E-1,2.325550020E-1
3.839655820E-1,1.870480031E-1,-2.004120052E-1,1.726119965E-1
3.979713040E-1,1.870480031E-1,-2.004120052E-1,1.726119965E-1
4.119777460E-1,1.689720005E-1,-2.263910025E-1,1.829749942E-1
4.259834530E-1,2.084330022E-1,-2.263640016E-1,1.061550006E-1
4.399884100E-1,1.746039987E-1,-1.690649986E-1,1.781059951E-1
4.539940870E-1,1.746039987E-1,-1.690649986E-1,1.781059951E-1
4.680005160E-1,1.650079936E-1,-1.500680000E-1,1.661140025E-1
4.820061880E-1,1.619870067E-1,-1.708839983E-1,2.606090009E-1
4.960111160E-1,1.619870067E-1,-1.708839983E-1,2.606090009E-1
5.100168030E-1,1.880300045E-1,-2.030660063E-1,2.389809936E-1
5.240232990E-1,2.045120001E-1,-1.602090001E-1,2.343489975E-1
5.380289430E-1,2.045120001E-1,-1.602090001E-1,2.343489975E-1
5.520339680E-1,1.748259962E-1,-1.389719993E-1,1.892970055E-1
5.660396800E-1,1.540189981E-1,-1.203420013E-1,1.741649956E-1
5.800461410E-1,1.558720022E-1,-2.014610022E-1,1.500550061E-1
5.940518530E-1,1.558720022E-1,-2.014610022E-1,1.500550061E-1
6.080567620E-1,1.894900054E-1,-2.337210029E-1,1.460749954E-1
6.220624340E-1,1.530849934E-1,-2.132450044E-1,8.837500215E-2
6.360689010E-1,1.530849934E-1,-2.132450044E-1,8.837500215E-2
6.500745500E-1,1.611469984E-1,-1.420110017E-1,1.314869970E-1
6.640795160E-1,1.769129932E-1,-4.594799876E-2,1.848360002E-1
6.780852560E-1,1.769129932E-1,-4.594799876E-2,1.848360002E-1
6.920916560E-1,1.665470004E-1,-6.382899731E-2,2.378650010E-1
7.060974490E-1,1.416690052E-1,-1.026500016E-1,3.126040101E-1
7.201023960E-1,8.923500031E-2,-7.449000329E-2,-4.836200178E-2
7.341080690E-1,8.923500031E-2,-7.449000329E-2,-4.836200178E-2
7.481145540E-1,6.776999682E-2,2.428800054E-2,2.830699980E-1
7.621202470E-1,1.423629969E-1,-1.094039977E-1,2.706649899E-1
7.761251510E-1,1.423629969E-1,-1.094039977E-1,2.706649899E-1
7.901308240E-1,2.619899996E-2,-1.613209993E-1,1.086779982E-1
8.041372620E-1,1.203280017E-1,-1.794089973E-1,8.788499981E-2
8.181429580E-1,1.203280017E-1,-1.794089973E-1,8.788499981E-2
8.321479290E-1,1.035839990E-1,-8.441999555E-3,2.771080136E-1
8.461536020E-1,5.617700145E-2,2.247000113E-3,2.794019878E-1
8.601600740E-1,3.667499870E-2,2.547799982E-2,2.584469914E-1
8.741657470E-1,3.667499870E-2,2.547799982E-2,2.584469914E-1
8.881707180E-1,4.441300035E-2,-4.079899937E-2,2.107210010E-1
9.021764110E-1,1.212000032E-3,-7.892499864E-2,1.681499928E-1
9.161828670E-1,1.212000032E-3,-7.892499864E-2,1.681499928E-1
9.301885740E-1,5.500100181E-2,-1.009190008E-1,2.045679986E-1
9.441934780E-1,9.971299767E-2,-5.699599907E-2,2.020059973E-1
9.581991890E-1,9.971299767E-2,-5.699599907E-2,2.020059973E-1
9.722057090E-1,1.598200053E-1,-2.614800073E-2,2.052669972E-1
9.862114250E-1,1.668930054E-1,2.950000111E-3,2.385559976E-1
1.000216429E0,1.418229938E-1,-2.258999972E-3,1.885430068E-1
1.014222150E0,1.418229938E-1,-2.258999972E-3,1.885430068E-1
1.028228603E0,1.288499981E-1,-2.549299970E-2,1.718679965E-1
1.042234323E0,1.152430028E-1,-1.623499952E-2,1.788859963E-1
1.056239266E0,1.152430028E-1,-1.623499952E-2,1.788859963E-1
1.070244978E0,8.580099791E-2,-2.456299961E-2,1.288460046E-1
1.084251434E0,4.176200181E-2,-3.604499996E-2,1.576820016E-1
1.098257108E0,4.176200181E-2,-3.604499996E-2,1.576820016E-1
1.112262026E0,6.612499803E-2,-2.052300051E-2,1.761730015E-1
1.126267679E0,5.306600034E-2,-1.022619978E-1,2.216179967E-1
1.140274113E0,2.099099942E-2,-1.567400061E-2,2.392449975E-1
1.154279800E0,2.099099942E-2,-1.567400061E-2,2.392449975E-1
1.168284708E0,2.648900077E-2,5.166200176E-2,2.140740007E-1
1.182290400E0,1.120300032E-2,6.901700050E-2,2.556549907E-1
1.196296857E0,1.120300032E-2,6.901700050E-2,2.556549907E-1
1.210302496E0,4.824500158E-2,-1.644999953E-3,2.322449982E-1
1.224307487E0,1.073689982E-1,-8.373499662E-2,1.985570043E-1
1.238313228E0,1.073689982E-1,-8.373499662E-2,1.985570043E-1
1.252319679E0,8.850800246E-2,-9.230600297E-2,1.775179952E-1
1.266325362E0,3.360199928E-2,1.001999993E-2,1.364129931E-1
1.280330281E0,4.408799857E-2,6.020800024E-2,1.691849977E-1
1.294335977E0,4.408799857E-2,6.020800024E-2,1.691849977E-1
1.308342439E0,9.574999660E-2,-9.770000353E-3,2.437600046E-1
1.322348098E0,1.365730017E-1,-4.828099906E-2,3.008500040E-1
1.336353035E0,1.365730017E-1,-4.828099906E-2,3.008500040E-1
1.350358727E0,8.330900222E-2,2.704000100E-3,2.413209975E-1
1.364365184E0,9.961500019E-2,1.264010072E-1,6.985799968E-2
1.378370847E0,9.961500019E-2,1.264010072E-1,6.985799968E-2
1.392375741E0,1.614910066E-1,3.982900083E-2,3.201240003E-1
1.406381473E0,9.455700219E-2,-8.229800314E-2,1.639000028E-1
1.420387915E0,1.071460024E-1,-1.389140040E-1,6.013699993E-2
1.434393627E0,1.071460024E-1,-1.389140040E-1,6.013699993E-2
1.448398588E0,1.088749990E-1,-1.756799966E-2,2.189179957E-1
1.462404271E0,-1.528500021E-2,8.692000061E-2,2.280420065E-1
1.476410718E0,-1.528500021E-2,8.692000061E-2,2.280420065E-1
1.490416391E0,-4.432999995E-3,1.210480034E-1,2.529880106E-1
1.504421324E0,1.943499967E-2,4.536499828E-2,2.261220068E-1
1.518427020E0,1.943499967E-2,4.536499828E-2,2.261220068E-1
1.532433492E0,3.650100157E-2,-9.547600150E-2,1.822389960E-1
1.546439222E0,6.414499879E-2,-9.415999800E-2,1.795549989E-1
1.560444161E0,7.006599754E-2,-4.764699936E-2,2.170969993E-1
1.574449862E0,7.006599754E-2,-4.764699936E-2,2.170969993E-1
1.588456333E0,8.589500189E-2,-2.272100002E-2,2.187000066E-1
1.602462036E0,7.416199893E-2,1.816200092E-2,2.575969994E-1
1.616466983E0,7.416199893E-2,1.816200092E-2,2.575969994E-1
1.630472670E0,7.716199756E-2,6.423000246E-2,1.666560024E-1
1.644479132E0,5.262700096E-2,2.905800007E-2,2.019439936E-1
1.658484809E0,5.262700096E-2,2.905800007E-2,2.019439936E-1
1.672489727E0,8.608400077E-2,4.689999914E-4,1.811250001E-1
1.686495440E0,6.862100214E-2,-2.786099911E-2,1.231419966E-1
1.700501920E0,2.772600017E-2,-4.138400033E-2,1.330270022E-1
1.714507602E0,2.772600017E-2,-4.138400033E-2,1.330270022E-1
1.728512550E0,2.591999993E-2,-3.506999835E-2,1.433890015E-1
1.742518314E0,1.644100063E-2,-2.734499983E-2,1.770209968E-1
1.756524647E0,1.644100063E-2,-2.734499983E-2,1.770209968E-1
1.770530319E0,2.087499946E-2,4.999999888E-3,1.829019934E-1
1.784535305E0,2.938299999E-2,1.909800060E-2,1.816609949E-1
1.798540972E0,2.938299999E-2,1.909800060E-2,1.816609949E-1
1.812547439E0,5.820700154E-2,-1.903000055E-3,2.105399966E-1
1.826553174E0,6.336899847E-2,-1.501300000E-2,1.901019961E-1
1.840558102E0,8.732599765E-2,-3.002000041E-3,2.026180029E-1
1.854563780E0,8.732599765E-2,-3.002000041E-3,2.026180029E-1
1.868570212E0,4.859299958E-2,-5.069999956E-3,1.843879968E-1
1.882575915E0,4.584800079E-2,2.930299938E-2,1.608480066E-1
1.896580823E0,4.584800079E-2,2.930299938E-2,1.608480066E-1
1.910586549E0,6.192100048E-2,3.199400008E-2,1.634500027E-1
1.924593040E0,4.911400005E-2,4.075999837E-3,1.778119951E-1
1.938598712E0,4.911400005E-2,4.075999837E-3,1.778119951E-1
1.952603654E0,4.161699861E-2,-3.539400175E-2,2.631919980E-1
1.966609395E0,-4.250000231E-3,1.916399971E-2,1.056300011E-2
1.980615852E0,5.535000004E-3,1.225019991E-1,2.707819939E-1
1.994621544E0,5.535000004E-3,1.225019991E-1,2.707819939E-1
2.008626481E0,8.413700014E-2,1.709299907E-2,3.334360123E-1
2.022632164E0,9.679999785E-4,-5.626999959E-2,1.831540018E-1
2.036638625E0,9.679999785E-4,-5.626999959E-2,1.831540018E-1
2.050644290E0,6.899800152E-2,-4.737199843E-2,1.798239946E-1
2.064649237E0,5.545699969E-2,7.380200177E-2,2.185740024E-1
2.078654991E0,5.545699969E-2,7.380200177E-2,2.185740024E-1
2.092661434E0,2.514900081E-2,7.988099754E-2,2.323810011E-1
2.106667169E0,3.898499906E-2,4.488199949E-2,2.271780074E-1
2.120671977E0,2.992399968E-2,-7.829000242E-3,1.991579980E-1
2.134677620E0,2.992399968E-2,-7.829000242E-3,1.991579980E-1
2.148684073E0,-1.406800002E-2,-3.507399932E-2,2.016910017E-1
2.162689750E0,1.145199966E-2,-1.428500004E-2,2.094299942E-1
2.176694659E0,1.145199966E-2,-1.428500004E-2,2.094299942E-1
2.190700395E0,4.142199829E-2,2.266800031E-2,2.034029961E-1
2.204706866E0,7.797700167E-2,6.507299840E-2,2.254920006E-1
2.218712535E0,7.797700167E-2,6.507299840E-2,2.254920006E-1
2.232717483E0,6.657300144E-2,4.875800014E-2,1.990399957E-1
2.246723175E0,1.767100021E-2,4.668600112E-2,2.191230059E-1
2.260729627E0,6.014899909E-2,2.340699919E-2,1.671860069E-1
2.274735353E0,6.014899909E-2,2.340699919E-2,1.671860069E-1
2.288740280E0,7.615800202E-2,8.818999864E-3,1.902640015E-1
2.302745964E0,5.256500095E-2,-3.555000061E-3,1.238719970E-1
2.316752434E0,5.256500095E-2,-3.555000061E-3,1.238719970E-1
2.330758175E0,7.546000183E-3,1.351699978E-2,1.843650043E-1
2.344763108E0,5.419000052E-3,3.022300079E-2,1.920499951E-1
2.358768810E0,5.419000052E-3,3.022300079E-2,1.920499951E-1
2.372775280E0,3.718699887E-2,4.849600047E-2,2.211170048E-1
2.386780949E0,2.696299925E-2,5.106800050E-2,2.419759929E-1
2.400785834E0,2.589900047E-2,5.448500067E-2,2.397399992E-1
2.414791506E0,2.589900047E-2,5.448500067E-2,2.397399992E-1
2.428797987E0,1.483500004E-2,2.609699965E-2,2.283010036E-1
2.442803708E0,3.881200030E-2,6.645999849E-3,1.925369948E-1
2.456808617E0,3.881200030E-2,6.645999849E-3,1.925369948E-1
2.470814271E0,4.543700069E-2,7.304999977E-3,2.007150054E-1
2.484820703E0,4.069799930E-2,1.179600041E-2,1.840559989E-1
2.498826392E0,4.069799930E-2,1.179600041E-2,1.840559989E-1
2.512831329E0,1.748099923E-2,3.498400003E-2,1.603129953E-1
