"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.186598700E-2,-3.080280125E-1,2.664799988E-2,3.933619857E-1
3.587161700E-2,-3.801839948E-1,4.004549980E-1,2.564099990E-2
4.987644900E-2,-3.698360026E-1,3.810339868E-1,-1.126839966E-1
6.388217400E-2,-2.042869925E-1,3.576000035E-1,-1.405930072E-1
7.788852100E-2,-2.042869925E-1,3.576000035E-1,-1.405930072E-1
9.189408700E-2,-1.862570047E-1,3.866150081E-1,7.650000043E-4
1.058990300E-1,-1.292430013E-1,3.300150037E-1,8.169899881E-2
1.199046550E-1,-1.292430013E-1,3.300150037E-1,8.169899881E-2
1.339110780E-1,-1.062230021E-1,1.338720024E-1,3.693259954E-1
1.479167270E-1,-4.311100021E-2,2.044500038E-2,2.795020044E-1
1.619215530E-1,-4.311100021E-2,2.044500038E-2,2.795020044E-1
1.759271930E-1,-2.254129946E-1,1.495029926E-1,3.057000041E-2
1.899335820E-1,-3.560500145E-1,3.026759923E-1,-2.413039953E-1
2.039391980E-1,-1.928820014E-1,1.385470033E-1,-1.832199991E-1
2.179440680E-1,-1.928820014E-1,1.385470033E-1,-1.832199991E-1
2.319496970E-1,-1.029089987E-1,-1.906899922E-2,-3.277400136E-2
2.459561210E-1,-2.565819919E-1,7.625900209E-2,-9.754700214E-2
2.599617360E-1,-2.565819919E-1,7.625900209E-2,-9.754700214E-2
2.739666070E-1,-3.614720106E-1,7.205600291E-2,-4.030919969E-1
2.879722270E-1,-3.438769877E-1,4.142399877E-2,-8.433930278E-1
3.019786400E-1,-3.438769877E-1,4.142399877E-2,-8.433930278E-1
3.159842650E-1,-3.009769917E-1,2.597239912E-1,-1.070958972E0
3.299891400E-1,-2.854419947E-1,5.296289921E-1,-1.366325974E0
3.439947560E-1,-1.959400028E-1,9.049170017E-1,-1.607301950E0
3.580011350E-1,-1.959400028E-1,9.049170017E-1,-1.607301950E0
3.720067610E-1,-5.896509886E-1,1.226161003E0,-1.843500972E0
3.860116110E-1,-6.809669733E-1,1.658957958E0,-1.848683000E0
4.000172120E-1,-6.809669733E-1,1.658957958E0,-1.848683000E0
4.140235780E-1,1.295430064E-1,2.182542086E0,-1.974771023E0
4.280291780E-1,4.187439978E-1,2.493882895E0,-2.582246065E0
4.420340110E-1,4.187439978E-1,2.493882895E0,-2.582246065E0
4.560396030E-1,-5.221679807E-1,2.394593954E0,-2.074186087E0
