"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.758115100E-2,-1.509480029E-1,1.008619964E-1,3.209980130E-1
5.158729500E-2,-1.200440004E-1,1.095350012E-1,3.279699981E-1
6.559255900E-2,-1.166270003E-1,2.888399921E-2,2.710050046E-1
7.959871700E-2,-1.166270003E-1,2.888399921E-2,2.710050046E-1
9.360555400E-2,-1.237109974E-1,5.226200074E-2,1.389690042E-1
1.076117270E-1,-1.134089977E-1,6.861499697E-2,8.073800057E-2
1.216171310E-1,-8.771499991E-2,1.571470052E-1,1.675119996E-1
1.356232270E-1,-8.771499991E-2,1.571470052E-1,1.675119996E-1
1.496301400E-1,-2.486329973E-1,1.618590057E-1,9.724500030E-2
1.636361980E-1,-3.234420121E-1,8.312799782E-2,3.509559929E-1
1.776415640E-1,-3.234420121E-1,8.312799782E-2,3.509559929E-1
1.916477370E-1,-4.062669873E-1,-6.368999835E-3,3.843399882E-1
2.056545690E-1,-2.678900063E-1,-1.082810014E-1,2.296520025E-1
2.196607170E-1,-2.678900063E-1,-1.082810014E-1,2.296520025E-1
2.336660530E-1,1.100580022E-1,1.517560035E-1,-5.251200125E-2
2.476722070E-1,6.530600041E-2,2.109269947E-1,3.192700073E-2
2.616790580E-1,-1.458490044E-1,1.688050032E-1,2.095620036E-1
2.756851640E-1,-1.458490044E-1,1.688050032E-1,2.095620036E-1
2.896905630E-1,-2.696250081E-1,4.805900156E-2,2.742429972E-1
3.036966300E-1,-1.195859984E-1,-1.792399958E-2,3.301050067E-1
3.177035530E-1,-1.195859984E-1,-1.792399958E-2,3.301050067E-1
3.317095640E-1,2.302899957E-2,1.916240007E-1,1.827020049E-1
3.457149200E-1,1.431700028E-2,1.096670032E-1,1.232760027E-1
3.597210740E-1,1.431700028E-2,1.096670032E-1,1.232760027E-1
3.737279150E-1,-8.911900222E-2,-1.588059962E-1,2.410379946E-1
3.877341080E-1,-1.000799984E-1,-2.590500005E-2,2.947210073E-1
4.017394720E-1,-8.207099885E-2,-5.820500106E-2,2.161290050E-1
4.157455540E-1,-8.207099885E-2,-5.820500106E-2,2.161290050E-1
4.297524710E-1,1.102299988E-2,-9.668000042E-2,1.686480045E-1
4.437585160E-1,-1.151089966E-1,1.341660023E-1,2.671270072E-1
4.577638620E-1,-1.151089966E-1,1.341660023E-1,2.671270072E-1
4.717699300E-1,-1.316079944E-1,6.511399895E-2,2.297350019E-1
4.857769050E-1,-1.252059937E-1,7.144899666E-2,1.495240033E-1
4.997829870E-1,-1.252059937E-1,7.144899666E-2,1.495240033E-1
5.137883620E-1,-1.698659956E-1,1.177520007E-1,3.160409927E-1
5.277945250E-1,-1.230470017E-1,6.102799997E-2,2.402680069E-1
5.418014000E-1,2.398000099E-3,-2.044600062E-2,1.694159955E-1
5.558075920E-1,2.398000099E-3,-2.044600062E-2,1.694159955E-1
5.698129810E-1,8.675000072E-2,1.289010048E-1,1.703850031E-1
5.838190870E-1,-1.023849994E-1,2.152740061E-1,1.097640023E-1
5.978260050E-1,-1.023849994E-1,2.152740061E-1,1.097640023E-1
6.118320870E-1,-1.658219993E-1,6.216600165E-2,1.881490052E-1
6.258374820E-1,-1.386310011E-1,-6.586900353E-2,2.754670084E-1
6.398435790E-1,-1.386310011E-1,-6.586900353E-2,2.754670084E-1
6.538504870E-1,-1.303289980E-1,-1.997839957E-1,3.630180061E-1
6.678565690E-1,-1.544899940E-1,-4.989999812E-3,3.907960057E-1
6.818619590E-1,-1.648029983E-1,1.780609936E-1,2.162099928E-1
6.958680970E-1,-1.648029983E-1,1.780609936E-1,2.162099928E-1
7.098749440E-1,-1.497270018E-1,1.453649998E-1,6.568200141E-2
7.238811210E-1,-1.342059970E-1,2.762899920E-2,-2.579200082E-2
